,|Utility Characteristics..Year|,|Utility Characteristics..State|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..BA Code|,|Photovoltaic.Capacity MW.Type|,|Photovoltaic.Capacity MW.Residential|,|Photovoltaic.Capacity MW.Commercial|,|Photovoltaic.Capacity MW.Industrial|,|Photovoltaic.Capacity MW.Transportation|,|Photovoltaic.Capacity MW.Total|,|Photovoltaic.Customers.Residential|,|Photovoltaic.Customers.Commercial|,|Photovoltaic.Customers.Industrial|,|Photovoltaic.Customers.Transportation|,|Photovoltaic.Customers.Total|,|Photovoltaic.Storage Capacity (MW).Residential|,|Photovoltaic.Storage Capacity (MW).Commercial|,|Photovoltaic.Storage Capacity (MW).Industrial|,|Photovoltaic.Storage Capacity (MW).Transportation|,|Photovoltaic.Storage Capacity (MW).Total|,|Photovoltaic.Storage Customers.Residential|,|Photovoltaic.Storage Customers.Commercial|,|Photovoltaic.Storage Customers.Industrial|,|Photovoltaic.Storage Customers.Transportation|,|Photovoltaic.Storage Customers.Total|,|Photovoltaic.Virtual Capacity (MW).Residential|,|Photovoltaic.Virtual Capacity (MW).Commercial|,|Photovoltaic.Virtual Capacity (MW).Industrial|,|Photovoltaic.Virtual Capacity (MW).Transportation|,|Photovoltaic.Virtual Capacity (MW).Total|,|Photovoltaic.Virtual Customers.Residential|,|Photovoltaic.Virtual Customers.Commercial|,|Photovoltaic.Virtual Customers.Industrial|,|Photovoltaic.Virtual Customers.Transportation|,|Photovoltaic.Virtual Customers.Total|,|Photovoltaic.Energy Sold Back MWh.Residential|,|Photovoltaic.Energy Sold Back MWh.Commercial|,|Photovoltaic.Energy Sold Back MWh.Industrial|,|Photovoltaic.Energy Sold Back MWh.Transportation|,|Photovoltaic.Energy Sold Back MWh.Total|,|Wind.Capacity MW.Residential|,|Wind.Capacity MW.Commercial|,|Wind.Capacity MW.Industrial|,|Wind.Capacity MW.Transportation|,|Wind.Capacity MW.Total|,|Wind.Customers.Residential|,|Wind.Customers.Commercial|,|Wind.Customers.Industrial|,|Wind.Customers.Transportation|,|Wind.Customers.Total|,|Wind.Energy Sold Back MWh.Residential|,|Wind.Energy Sold Back MWh.Commercial|,|Wind.Energy Sold Back MWh.Industrial|,|Wind.Energy Sold Back MWh.Transportation|,|Wind.Energy Sold Back MWh.Total|,|Other.Capacity MW.Residential|,|Other.Capacity MW.Commercial|,|Other.Capacity MW.Industrial|,|Other.Capacity MW.Transportation|,|Other.Capacity MW.Total|,|Other.Customers.Residential|,|Other.Customers.Commercial|,|Other.Customers.Industrial|,|Other.Customers.Transportation|,|Other.Customers.Total|,|Other.Energy Sold Back MWh.Residential|,|Other.Energy Sold Back MWh.Commercial|,|Other.Energy Sold Back MWh.Industrial|,|Other.Energy Sold Back MWh.Transportation|,|Other.Energy Sold Back MWh.Total|,|All Technologies.Capacity MW.Residential|,|All Technologies.Capacity MW.Commercial|,|All Technologies.Capacity MW.Industrial|,|All Technologies.Capacity MW.Transportation|,|All Technologies.Capacity MW.Total|,|All Technologies.Customers.Residential|,|All Technologies.Customers.Commercial|,|All Technologies.Customers.Industrial|,|All Technologies.Customers.Transportation|,|All Technologies.Customers.Total|,|All Technologies.Energy Sold Back MWh.Residential|,|All Technologies.Energy Sold Back MWh.Commercial|,|All Technologies.Energy Sold Back MWh.Industrial|,|All Technologies.Energy Sold Back MWh.Transportation|,|..Total|
0,2020,IL,3931.0,Coles-Moultrie Electric Coop,MISO,DC,0.358,0.331,.,.,0.689,39,3,.,.,42,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.010,.,.,.,0.010,1,.,.,.,1,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.368,0.331,0.000,0.000,0.699,40,3,0,0,43,0.000,0.000,0.000,0.000,0.000
1,2020,IL,4110.0,Commonwealth Edison Co,PJM,AC,120.839,98.382,.,.,219.221,"16,855",528,.,.,"17,383",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.194,2.379,.,.,2.573,33,12,.,.,45,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,121.033,100.761,0.000,0.000,221.794,"16,888",540,0,0,"17,428",0.000,0.000,0.000,0.000,0.000
2,2020,IL,4362.0,Corn Belt Energy Corporation,MISO,AC,1.929,0.923,.,.,2.852,230,8,.,.,238,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.012,.,.,.,0.012,4,.,.,.,4,.,.,.,.,0.000,.,.,2.600,.,2.600,.,.,1,.,1,.,.,.,.,0.000,1.941,0.923,2.600,0.000,5.464,234,8,1,0,243,0.000,0.000,0.000,0.000,0.000
3,2020,IL,5585.0,Eastern Illinois Elec Coop,MISO,AC,2.202,0.161,.,.,2.363,231,17,.,.,248,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,055.000",42.800,.,.,"1,097.800",0.010,.,.,.,0.010,1,.,.,.,1,0.320,.,.,.,0.320,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,2.212,0.161,0.000,0.000,2.373,232,17,0,0,249,"1,055.320",42.800,0.000,0.000,"1,098.120"
4,2020,IL,7096.0,City of Geneva- (IL),PJM,AC,0.172,0.070,.,.,0.242,19,2,.,.,21,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.172,0.070,0.000,0.000,0.242,19,2,0,0,21,0.000,0.000,0.000,0.000,0.000
5,2020,IL,9750.0,"Jo-Carroll Energy, Inc",MISO,AC,2.665,0.461,.,.,3.126,321,29,.,.,350,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.017,.,.,.,0.017,7,.,.,.,7,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,2.682,0.461,0.000,0.000,3.143,328,29,0,0,357,0.000,0.000,0.000,0.000,0.000
6,2020,IL,12341.0,MidAmerican Energy Co,MISO,AC,1.314,2.506,0.498,.,4.318,164,51,1,.,216,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,205.471,436.771,.,.,642.242,0.002,0.620,.,.,0.622,1,2,.,.,3,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,1.316,3.126,0.498,0.000,4.940,165,53,1,0,219,205.471,436.771,0.000,0.000,642.242
7,2020,IL,12395.0,Menard Electric Coop,MISO,DC,0.851,.,.,.,0.851,95,.,.,.,95,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,456.500,.,.,.,456.500,0.012,.,.,.,0.012,2,.,.,.,2,5.965,.,.,.,5.965,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.863,0.000,0.000,0.000,0.863,97,0,0,0,97,462.465,0.000,0.000,0.000,462.465
8,2020,IL,13032.0,Mt Carmel Public Utility Co,MISO,AC,0.204,0.093,0.000,0.000,0.297,17,5,0,0,22,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8.490,3.190,0.000,0.000,11.680,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.204,0.093,0.000,0.000,0.297,17,5,0,0,22,8.490,3.190,0.000,0.000,11.680
9,2020,IL,13208.0,City of Naperville - (IL),PJM,AC,2.552,1.400,.,.,3.952,343,19,.,.,362,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,2.552,1.400,0.000,0.000,3.952,343,19,0,0,362,0.000,0.000,0.000,0.000,0.000
