Utility Characteristics,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Demand,Unnamed: 7,Energy Sources (Megawatthours),Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Disposition,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Electric Revenues,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
,,,,,,(Megawatts),,,,Power Exchanged,,,Wheeled Power,,,,,(Megawatthours),,,,,,(Thousands Dollars),,,,,,,
Data Year,Utility Number,Utility Name,State,Ownership Type,NERC Region,Summer Peak Demand,Winter Peak Demand,Net Generation,Wholesale Power Purchases,Exchange Energy Received,Exchange Energy Delivered,Net Power Exchanged,Wheeled Power Received,Wheeled Power Delivered,Net Wheeled Power,Transmission by Other Losses,Total Sources,Retail Sales,Sales for Resale,Furnished without Charge,Consumed by Respondent without Charge,Total Energy Losses,Total Disposition,From Retail Sales,From Delivery Customers,From Sales for Resale,From Credits or Adjustments,From Transmission,From Other,Total,"Data Type
O = Observed
I = Imputed"
2014,55,City of Aberdeen - (MS),MS,Municipal,SERC,31.7,33.3,0,196770,0,.,0,0,0,0,0,196770,190702,0,0,124,5944,196770,14752,.,0,0,0,348,15100,O
2014,59,City of Abbeville - (LA),LA,Municipal,SPP,34,25,.,142815,.,.,0,.,.,0,.,142815,135154,.,.,.,7661,142815,13788,0,0,0,0,0,13788,O
2014,84,A & N Electric Coop,VA,Cooperative,RFC,145.9,168.5,38,725541,.,.,0,.,.,0,.,725579,688088,.,.,1743,35748,725579,74726.1,.,.,.,.,777.6,75503.7,O
2014,97,Adams Electric Coop,IL,Cooperative,SERC,36,42,4705,177628,.,.,0,.,.,0,.,182333,169145,.,.,383,12805,182333,21843,.,.,.,.,247,22090,O
2014,108,Adams-Columbia Electric Coop,WI,Cooperative,MRO,113.5,91.3,.,539123,.,.,0,.,.,0,.,539123,517644,82,.,1057,20340,539123,67950,.,5,.,.,-691,67264,O
2014,113,"Agway Energy Services, LLC",NY,Retail Power Marketer,NPCC,84.9,97.6,.,470060,.,.,0,.,.,0,.,470060,469250,.,.,.,810,470060,53436,.,.,.,.,.,53436,O
2014,118,"Adams Rural Electric Coop, Inc",OH,Cooperative,RFC,22.4,35.4,.,122759,.,.,0,.,.,0,.,122759,114530,.,135,.,8094,122759,15387,.,.,.,.,404,15791,O
2014,122,Village of Arcade - (NY),NY,Municipal,NPCC,24,42,.,168806,.,.,0,.,.,0,.,168806,160932,.,.,712,7162,168806,9065,.,.,388,.,.,9453,O
2014,123,City of Adel- (GA),GA,Municipal,SERC,21.4,22.3,.,116507,.,.,0,.,.,0,.,116507,111751,.,.,787,3969,116507,12510,.,.,.,.,.,12510,O
2014,150,Adrian Public Utilities Comm,MN,Municipal,MRO,3,3,.,14649,.,.,0,.,.,0,.,14649,13532,.,202,286,629,14649,1489.8,.,.,.,.,.,1489.8,O
2014,155,Agralite Electric Coop,MN,Cooperative,MRO,46,38,277,247304,.,.,0,.,.,0,.,247581,234254,.,.,459,12868,247581,20570,.,.,.,.,356,20926,O
2014,162,Aiken Electric Coop Inc,SC,Cooperative,SERC,210,268,.,985767,.,.,0,.,.,0,.,985767,943722,.,.,1561,40484,985767,112013,.,.,.,.,1046,113059,O
2014,176,Ajo Improvement Co,AZ,Investor Owned,WECC,1.5,1,.,13360,.,.,0,.,.,0,.,13360,11208,.,.,.,2152,13360,908.5,.,.,.,.,.,908.5,O
2014,189,PowerSouth Energy Cooperative,AL,Cooperative,SERC,1832,2400,5984644,2899106,0,0,0,0,0,0,0,8883750,0,8530589,0,20030,333131,8883750,0,0,672730.9,0,0,3167.8,675898.7,O
2014,195,Alabama Power Co,AL,Investor Owned,SERC,11387,11924,63573171,5914080,.,.,0,29515860,28875407,640453,.,70127704,56854751,10300563,1788,130440,2840162,70127704,5249342,.,469818,-1537,.,223926,5941549,O
2014,201,City of Alachua - (FL),FL,Municipal,FRCC,26.3,23.5,.,123550,.,.,0,.,.,0,.,123550,116449,0,0,1093,6008,123550,14053,0,0,0,0,52,14105,O
2014,207,City of Alameda,CA,Municipal,WECC,55.8,63.4,.,363667,145662,145662,0,.,.,0,.,363667,348004,.,.,.,15663,363667,50679.6,.,.,.,.,8009.3,58688.9,O
2014,213,Alaska Electric Light&Power Co,AK,Investor Owned,AK,59,78,143844,276482,.,.,0,.,.,0,.,420326,399492,.,.,4518,16316,420326,41691,.,.,.,.,526,42217,O
2014,219,Alaska Power and Telephone Co,WA,Investor Owned,AK,1,1,19394,51258,.,.,0,.,.,0,.,70652,63068,679,.,1518,5387,70652,17642,0,79,0,0,1562,19283,O
2014,221,"Alaska Village Elec Coop, Inc",AK,Cooperative,AK,18.6,15.1,102206,.,.,.,0,.,.,0,.,102206,97874,.,.,.,4332,102206,53522,.,.,.,.,294,53816,O
2014,230,Albany Water Gas & Light Comm,GA,Municipal,SERC,188,200,.,993257,.,.,0,.,.,0,.,993257,967648,.,.,.,25609,993257,95640,.,.,.,.,5482.7,101122.7,O
2014,232,City of Albemarle - (NC),NC,Municipal,SERC,64.6,71.5,0,312863,.,.,0,.,.,0,.,312863,292828,.,.,153,19882,312863,34164,0,.,.,.,468,34632,O
2014,240,Albemarle Electric Member Corp,NC,Cooperative,SERC,52.7,76.3,.,238773,.,.,0,.,.,0,.,238773,224919,.,.,664,13190,238773,28528,.,.,.,.,563,29091,O
2014,241,Albertville Municipal Utilities Board,AL,Municipal,SERC,99.7,103.4,0,581102,0,.,0,0,0,0,0,581102,564723,0,0,0,16379,581102,47482,.,0,0,0,1113,48595,O
2014,261,AGC Division of APG Inc,PA,Investor Owned,RFC,835,832,4462895,1021582,.,.,0,.,.,0,.,5484477,4462895,1021582,.,.,.,5484477,174264.8,.,38262,.,563,983,214072.8,O
2014,276,Alcorn County Elec Power Assn,MS,Cooperative,SERC,123.9,129.4,0,652752,0,.,0,0,0,0,0,652752,630116,0,0,776,21860,652752,58083,.,0,0,0,2290,60373,O
2014,289,City of Alexander City,AL,Municipal,SERC,32,39,.,162354,.,.,0,.,.,0,.,162354,134077,.,.,.,28277,162354,14129,.,.,.,.,.,14129,O
2014,295,City of Alexandria - (MN),MN,Municipal,MRO,59.3,49.6,0,307923,.,.,0,.,.,0,.,307923,291746,.,.,.,16177,307923,23402.8,.,.,.,.,431,23833.8,O
2014,296,"Alfalfa Electric Coop, Inc",OK,Cooperative,SPP,170,192,.,1038756,.,.,0,39232,39232,0,.,1038756,1001500,14141,.,422,22693,1038756,67718,.,1043,.,.,495,69256,O
2014,298,City of Alexandria - (LA),LA,Municipal,SPP,160,109,712,861077,.,.,0,.,.,0,.,861789,699245,.,3172,.,159372,861789,28658.5,.,.,.,.,.,28658.5,O
2014,305,Alger-Delta Coop Electric Assn,MI,Cooperative,MISO,12.7,14,0,83542,0,0,.,0,0,.,.,83542,74302,0,.,0,9240,83542,13834.3,.,0,0,0,0,13834.3,O
2014,307,Algoma Utility Comm,WI,Municipal,MISO,8.4,8,0,45330,0,0,.,0,0,.,.,45330,43377,0,.,73,1880,45330,4597.6,.,0,0,0,30.2,4627.8,O
2014,308,City of Acworth - (GA),GA,Municipal,SERC,25.6,18.2,.,96486,.,.,0,3764,.,3764,.,100250,93770,.,.,1538,4942,100250,12946,.,.,.,.,602,13548,O
2014,309,City of Algona - (IA),IA,Municipal,MRO,22,20,143800,52444,.,.,0,.,.,0,.,196244,110607,75527,.,5000,5110,196244,9084,.,3176,.,.,.,12260,O
2014,329,"Allamakee-Clayton El Coop, Inc",IA,Cooperative,MRO,27.2,29.8,.,149186,.,.,0,.,.,0,.,149186,131438,9198,.,515,8035,149186,17520.5,.,503,.,.,64.3,18087.8,O
2014,332,Allegheny Electric Coop Inc,PA,Cooperative,RFC,641,797,1959217,1593286,3033,.,3033,.,.,0,.,3555536,.,3497843,.,.,57693,3555536,.,.,201566,.,.,11748,213314,O
2014,343,AEP Generating Company,OH,Investor Owned,RFC,2440,2516,11675906,.,.,.,0,.,.,0,.,11675906,.,11675906,.,.,.,11675906,.,.,571823,.,.,216,572039,O
2014,367,City of Alliance- (NE),NE,Municipal,MRO,24.8,22.3,63,123107,.,.,0,.,.,0,-3224,119946,114293,.,2252,.,3401,119946,12215.1,.,.,.,.,339.9,12555,O
