,|Data Year|,|Utility Number|,|Utility Name|,|Short Form|,|State|,|County|
0,2019,97,Adams Electric Coop,,IL,Adams
1,2019,97,Adams Electric Coop,,IL,Brown
2,2019,97,Adams Electric Coop,,IL,Hancock
3,2019,97,Adams Electric Coop,,IL,McDonough
4,2019,97,Adams Electric Coop,,IL,Pike
5,2019,97,Adams Electric Coop,,IL,Schuyler
6,2019,229,City of Albany - (IL),Y,IL,Whiteside
7,2019,366,City of Allendale- (IL),Y,IL,Wabash
8,2019,406,City of Altamont - (IL),Y,IL,Effingham
9,2019,1325,City of Batavia - (IL),,IL,Kane
10,2019,1648,Village of Bethany - (IL),Y,IL,Moultrie
11,2019,2188,City of Breese - (IL),Y,IL,Clinton
12,2019,2634,City of Bushnell - (IL),Y,IL,McDonough
13,2019,2776,Cairo Public Utility Company,Y,IL,Alexander
14,2019,2776,Cairo Public Utility Company,Y,IL,Pulaski
15,2019,3037,City of Carlyle - (IL),Y,IL,Clinton
16,2019,3040,City of Carmi - (IL),Y,IL,White
17,2019,3153,City of Casey - (IL),Y,IL,Clark
18,2019,3405,Village of Chatham - (IL),Y,IL,Sangamon
19,2019,3726,Clay Electric Coop Inc,Y,IL,Clay
20,2019,3726,Clay Electric Coop Inc,Y,IL,Effingham
21,2019,3726,Clay Electric Coop Inc,Y,IL,Fayette
22,2019,3726,Clay Electric Coop Inc,Y,IL,Jasper
23,2019,3726,Clay Electric Coop Inc,Y,IL,Marion
24,2019,3726,Clay Electric Coop Inc,Y,IL,Richland
25,2019,3726,Clay Electric Coop Inc,Y,IL,Wayne
26,2019,3806,"Clinton County Elec Coop, Inc",,IL,Clinton
27,2019,3806,"Clinton County Elec Coop, Inc",,IL,Fayette
28,2019,3806,"Clinton County Elec Coop, Inc",,IL,Madison
29,2019,3806,"Clinton County Elec Coop, Inc",,IL,Marion
30,2019,3806,"Clinton County Elec Coop, Inc",,IL,St Clair
31,2019,3806,"Clinton County Elec Coop, Inc",,IL,Washington
32,2019,3931,Coles-Moultrie Electric Coop,,IL,Clark
33,2019,3931,Coles-Moultrie Electric Coop,,IL,Coles
34,2019,3931,Coles-Moultrie Electric Coop,,IL,Cumberland
35,2019,3931,Coles-Moultrie Electric Coop,,IL,Douglas
36,2019,3931,Coles-Moultrie Electric Coop,,IL,Edgar
37,2019,3931,Coles-Moultrie Electric Coop,,IL,Moultrie
38,2019,3931,Coles-Moultrie Electric Coop,,IL,Piatt
39,2019,3931,Coles-Moultrie Electric Coop,,IL,Shelby
40,2019,4110,Commonwealth Edison Co,,IL,Boone
41,2019,4110,Commonwealth Edison Co,,IL,Bureau
42,2019,4110,Commonwealth Edison Co,,IL,Carroll
43,2019,4110,Commonwealth Edison Co,,IL,Cook
44,2019,4110,Commonwealth Edison Co,,IL,DeKalb
45,2019,4110,Commonwealth Edison Co,,IL,DuPage
46,2019,4110,Commonwealth Edison Co,,IL,Ford
47,2019,4110,Commonwealth Edison Co,,IL,Grundy
48,2019,4110,Commonwealth Edison Co,,IL,Jo Daviess
49,2019,4110,Commonwealth Edison Co,,IL,Kane
50,2019,4110,Commonwealth Edison Co,,IL,Kankakee
51,2019,4110,Commonwealth Edison Co,,IL,Kendall
52,2019,4110,Commonwealth Edison Co,,IL,LaSalle
53,2019,4110,Commonwealth Edison Co,,IL,Lake
54,2019,4110,Commonwealth Edison Co,,IL,Lee
55,2019,4110,Commonwealth Edison Co,,IL,Livingston
56,2019,4110,Commonwealth Edison Co,,IL,Marshall
57,2019,4110,Commonwealth Edison Co,,IL,McHenry
58,2019,4110,Commonwealth Edison Co,,IL,Ogle
59,2019,4110,Commonwealth Edison Co,,IL,Stephenson
60,2019,4110,Commonwealth Edison Co,,IL,Whiteside
61,2019,4110,Commonwealth Edison Co,,IL,Will
62,2019,4110,Commonwealth Edison Co,,IL,Winnebago
63,2019,4110,Commonwealth Edison Co,,IL,Woodford
64,2019,4362,Corn Belt Energy Corporation,,IL,Bureau
65,2019,4362,Corn Belt Energy Corporation,,IL,Champaign
66,2019,4362,Corn Belt Energy Corporation,,IL,DeWitt
67,2019,4362,Corn Belt Energy Corporation,,IL,Ford
68,2019,4362,Corn Belt Energy Corporation,,IL,Henry
69,2019,4362,Corn Belt Energy Corporation,,IL,Kendall
70,2019,4362,Corn Belt Energy Corporation,,IL,Knox
