Utility Characteristics,,,,,,,Also operating in other NERC Regions,,,,,,,,Operating in these RTOs,,,,,,,,Other Activities,,,,,,,,,
Data Year,Utility Number,Utility Name,Short Form,State,Ownership Type,NERC Region,TRE,FRCC,MRO,NPCC,RFC,SERC,SPP,WECC,CAISO,ERCOT,PJM,NYISO,SPP,MISO,ISONE,Other,Generation,Transmission,Buying Transmission,Distribution,Buying Distribution,Wholesale Marketing,Retail Marketing,Bundled,Alt Fuel Vehicle,Alt Fuel Vehicle 2
2019,34,City of Abbeville - (SC),Y,SC,Municipal,SERC,,,,,,Y,,,,,,,,,,,Y,,,Y,,,,,N,
2019,55,City of Aberdeen - (MS),,MS,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2019,59,City of Abbeville - (LA),,LA,Municipal,SERC,,,,,,Y,N,,,,,,,Y,,,,,,Y,,,,Y,,
2019,84,A & N Electric Coop,,VA,Cooperative,RFC,,,,,Y,,,,,,Y,,,,,,Y,N,,Y,,,,,,
2019,87,City of Ada - (MN),Y,MN,Municipal,MRO,,,Y,,,,,,,,,,,Y,,,,,,Y,,,,,N,
2019,97,Adams Electric Coop,,IL,Cooperative,SERC,,,,,,Y,,,,,,,,Y,,,Y,,,Y,,,,,,
2019,108,Adams-Columbia Electric Coop,,WI,Cooperative,MRO,,,Y,,N,,,,,,,,,Y,,,,,Y,Y,Y,,,,,
2019,113,"Agway Energy Services, LLC",,NY,Retail Power Marketer,NPCC,,,,,,,,,,,Y,Y,,,,,,,,,,,Y,,,
2019,118,"Adams Rural Electric Coop, Inc",,OH,Cooperative,RFC,,,,,Y,,,,,,Y,,,,,,,,,Y,,Y,,,,
2019,122,Village of Arcade - (NY),,NY,Municipal,NPCC,,,,Y,,,,,,,,Y,,,,,,N,Y,Y,,,Y,Y,,
2019,123,City of Adel- (GA),,GA,Municipal,SERC,Y,,,,,Y,,,,,,,,,,,,,Y,Y,,,Y,Y,,
2019,149,City of Afton- (IA),Y,IA,Municipal,MRO,,,,,Y,,,,,,,,,Y,,,,,,Y,,,,,,
2019,150,Adrian Public Utilities Comm,,MN,Municipal,MRO,,,Y,,,,,,,,,,,Y,,,Y,,Y,Y,,,,,,
2019,155,Agralite Electric Coop,,MN,Cooperative,MRO,,,Y,,,,,,,,,,,Y,,,,,Y,Y,N,,,,Y,Y
2019,157,Town of Advance - (IN),Y,IN,Municipal,RFC,,,,,Y,,,,,,,,,Y,,,,,,Y,,,,Y,,
2019,162,Aiken Electric Coop Inc,,SC,Cooperative,SERC,,,,,,Y,,,,,,,,,,Y,,,,Y,,,,,,
2019,174,Aitkin Public Utilities Comm,Y,MN,Municipal,MRO,,,Y,,,,,,,,,,,,,,,,,Y,,,N,Y,N,
2019,176,Ajo Improvement Co,,AZ,Investor Owned,WECC,,,,,,,,Y,,,,,,,,,,,,,,,,Y,N,
2019,182,City of Akron - (IA),Y,IA,Municipal,MRO,,,,,,,,,,,,,,,,,,,,,,,Y,,,
2019,183,Village of Akron - (NY),Y,NY,Municipal,NPCC,,,,,,,,,,,,,,,,,,Y,,,,,,,,
2019,189,PowerSouth Energy Cooperative,,AL,Cooperative,SERC,,,,,,Y,,,,,,,,,,Y,Y,Y,Y,,,Y,,N,Y,Y
2019,191,Alamo Power District No 3,Y,NV,Political Subdivision,WECC,,,,,,,,Y,,,,,,,,,,,,Y,,,,,N,Y
2019,192,Akiachak Native Community Electric,Y,AK,Cooperative,AK,,,,,,,,,,,,,,,,Y,Y,,,Y,,,,,,
2019,195,Alabama Power Co,,AL,Investor Owned,SERC,,,,,,Y,,,,,,,,,,,Y,Y,Y,Y,,Y,Y,Y,Y,Y
2019,198,City of Alton,Y,IA,Municipal,MRO,,,Y,,,,,,,,,,Y,,,,,,,Y,,,,,N,
2019,201,City of Alachua - (FL),,FL,Municipal,FRCC,,,,,,,,,,,,,,,,,,,N,N,,,,Y,,
2019,202,Town of Black Creek - (NC),Y,NC,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,Y,Y,,,,Y,,
2019,207,City of Alameda,,CA,Municipal,WECC,,,,,,,,Y,Y,,,,,,,,,,,Y,,,N,,Y,Y
2019,213,Alaska Electric Light&Power Co,,AK,Investor Owned,AK,,,,,,,,,,,,,,,,,Y,Y,,Y,,,,,Y,Y
2019,219,Alaska Power and Telephone Co,,WA,Investor Owned,AK,,,,,,,,,,,,,,,,,Y,Y,,Y,,Y,Y,,,
2019,221,"Alaska Village Elec Coop, Inc",,AK,Cooperative,AK,,,,,,,,,,,,,,,,Y,Y,,,Y,,,,,,
2019,228,City of Albany - (MO),Y,MO,Municipal,MPS,,,,,,,Y,,,,,,Y,,,,,,,Y,,,,,N,
2019,229,City of Albany - (IL),Y,IL,Municipal,RFC,,,,,Y,,,,,,,,,Y,,,,,,Y,,,,,,
2019,230,Albany Utility Board,,GA,Municipal,SERC,,,,,,Y,,,,,,,,,,Y,,,,Y,,,,,Y,Y
2019,232,City of Albemarle - (NC),,NC,Municipal,SERC,,,,,,Y,,,,,,,,,,Y,,N,,Y,,,,,,
2019,240,Albemarle Electric Member Corp,,NC,Cooperative,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2019,241,Albertville Municipal Utilities Board,,AL,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,N,
2019,244,City of Albion - (ID),Y,ID,Municipal,WECC,,,,,,,,Y,,,,,,,,,,,,,,,,Y,,
2019,261,AGC Division of APG Inc,,PA,Investor Owned,RFC,,,,,Y,,,,,,,,,Y,,,Y,,Y,Y,,Y,,Y,N,
2019,266,City of Alpha - (MN),Y,MN,Municipal,MRO,,,,,,,,,,,,,,,,,,,,,,,,Y,N,
2019,276,Alcorn County Elec Power Assn,,MS,Cooperative,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,N,
2019,282,Village of Arcadia - (OH),Y,OH,Municipal,RFC,,,,,Y,,,,,,,,,,,Y,,,N,Y,,,,Y,,
2019,289,City of Alexander City,,AL,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,Y,Y
